Hora de inicio,Hora de fin
10:30,10:35
10:35,10:40
10:40,10:45
10:45,10:50
10:50,10:55
10:55,11:00
11:00,11:05
11:05,11:10
11:10,11:15
11:15,11:20
11:20,11:25
11:25,11:30
11:30,11:35
11:35,11:40
11:40,11:45
11:45,11:50
11:50,11:55
11:55,12:00
12:00,12:05
12:05,12:10
12:10,12:15
12:15,12:20
12:20,12:25
12:25,12:30
12:30,12:35
12:35,12:40
12:40,12:45
12:45,12:50
12:50,12:55
12:55,13:00
13:00,13:05
13:05,13:10
13:10,13:15
13:15,13:20
13:20,13:25
13:25,13:30
13:30,13:35
13:35,13:40
13:40,13:45
13:45,13:50
13:50,13:55
13:55,14:00
14:00,14:05
14:05,14:10
14:10,14:15
14:15,14:20
14:20,14:25
14:25,14:30
14:30,14:35
14:35,14:40
14:40,14:45
14:45,14:50
14:50,14:55
14:55,15:00
15:00,15:05
15:05,15:10
15:10,15:15
15:15,15:20
15:20,15:25
15:25,15:30
15:30,15:35
15:35,15:40
15:40,15:45
15:45,15:50
15:50,15:55
15:55,16:00
16:00,16:05
16:05,16:10
16:10,16:15
16:15,16:20
16:20,16:25
16:25,16:30
