Hora de inicio,Hora de fin
09:00,09:10
09:10,09:20
09:20,09:30
09:30,09:40
09:40,09:50
09:50,10:00
10:00,10:10
10:10,10:20
10:20,10:30
10:30,10:40
10:40,10:50
10:50,11:00
11:00,11:10
11:10,11:20
11:20,11:30
11:30,11:40
11:40,11:50
11:50,12:00
12:00,12:10
12:10,12:20
12:20,12:30
12:30,12:40
12:40,12:50
12:50,13:00
13:00,13:10
13:10,13:20
13:20,13:30
13:30,13:40
13:40,13:50
13:50,14:00
14:00,14:10
14:10,14:20
14:20,14:30
14:30,14:40
14:40,14:50
14:50,15:00
15:00,15:10
15:10,15:20
15:20,15:30
15:30,15:40
15:40,15:50
15:50,16:00
16:00,16:10
16:10,16:20
16:20,16:30
16:30,16:40
16:40,16:50
16:50,17:00
